packages/app/src/components/ArtifactsPanel.tsx(174,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(180,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(182,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(182,55): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(183,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(185,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(190,11): error TS7006: Parameter 'artifact' implicitly has an 'any' type.
packages/app/src/components/ArtifactsPanel.tsx(191,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(192,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(194,25): error TS7006: Parameter 'e' implicitly has an 'any' type.
packages/app/src/components/ArtifactsPanel.tsx(197,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(198,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(198,82): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(202,19): error TS2322: Type '"x"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 59 more ... | undefined'.
packages/app/src/components/ArtifactsPanel.tsx(205,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(208,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(210,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(213,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(215,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(218,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
